tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-death-comments,animal-life-stage,animal-reproductive-condition,animal-sex,animal-taxon-detail,attachment-type,deploy-off-latitude,deploy-off-longitude,deploy-on-latitude,deploy-on-longitude,deploy-on-person,deployment-comments,deployment-end-comments,deployment-end-type,deployment-id,manipulation-type,study-site,tag-beacon-frequency,tag-manufacturer-name,tag-model,tag-serial-no
GC01,GR_GC01,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,GC01_GC01,none,Graham,,,,
151.79,HR_151.790,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,151.790_151.790,none,Hart Ranges,151.79,,,
GC16,GR_GC16,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,GC16_GC16,none,Graham,,,,
GC20,GR_GC20,Rangifer tarandus,,59:00.0,,,,f,caribou,collar,,,,,,,deployment end time set to exclude locations in Fort St John,unknown,GC20_GC20,none,Graham,,,,
151.559,HR_151.559,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,151.559_151.559,none,Hart Ranges,151.559,,,
C06b,GR_C06,Rangifer tarandus,00:00.0,,,,,f,caribou,collar,,,,,,,,unknown,C06_C06b,none,Graham,,,,
C04b,GR_C04,Rangifer tarandus,00:00.0,,,,,f,caribou,collar,,,,,,,,unknown,C04_C04b,none,Graham,,,,
C10b,GR_C10,Rangifer tarandus,00:00.0,,,,,f,caribou,collar,,,,,,,,unknown,C10_C10b,none,Graham,,,,
C08b,GR_C08,Rangifer tarandus,00:00.0,,,,,f,caribou,collar,,,,,,,,unknown,C08_C08b,none,Graham,,,,
C02b,GR_C02,Rangifer tarandus,01:00.0,,,,,f,caribou,collar,,,,,,,,unknown,C02_C02b,none,Graham,,,,
C09b,GR_C09,Rangifer tarandus,00:00.0,,,,,f,caribou,collar,,,,,,,,unknown,C09_C09b,none,Graham,,,,
C05b,GR_C05,Rangifer tarandus,00:00.0,,,,,f,caribou,collar,,,,,,,,unknown,C05_C05b,none,Graham,,,,
C12b,GR_C12,Rangifer tarandus,00:00.0,,,,,f,caribou,collar,,,,,,,,unknown,C12_C12b,none,Graham,,,,
C01b,GR_C01,Rangifer tarandus,00:00.0,,,,,f,caribou,collar,,,,,,,,unknown,C01_C01b,none,Graham,,,,
car004,KE_car004,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on Telemetry. cod Predation - Wolf,,,f,caribou,collar,55.14010822,-122.4416668,55.19803367,-122.3872998,MW,General capture location.,,dead,car004_car004,none,Kennedy,150.552,,VHF,
car006,MO_car006,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on Telemetry. cod Unknown,,,f,caribou,collar,55.79959912,-122.4869026,55.8452695,-122.441041,MW,General capture location.,,dead,car006_car006,none,Moberly,151.31,,VHF,
car002,HR_car002,Rangifer tarandus,00:00.0,,,,,f,caribou,collar,,,54.84585894,-122.1123246,MW,General capture location.,Not Monitored,other,car002_car002,none,Hart Ranges,150.591,,VHF,
car005,MO_car005,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on Telemetry. cod Predation - Wolf,,,f,caribou,collar,55.57496066,-122.4299303,55.6115137,-122.4126199,MW,General capture location.,,dead,car005_car005,none,Moberly,151.45,,VHF,
car003,KE_car003,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on Telemetry. cod Unknown.  Suspected predation,,,f,caribou,collar,55.28844832,-122.6507406,55.17964289,-122.3090656,MW,General capture location.,,dead,car003_car003,none,Kennedy,150.501,,VHF,
car001,HR_car001,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on Telemetry. cod Unknown.  Suspected predation,,,f,caribou,collar,54.87308473,-122.1519024,54.79914462,-121.8955665,MW,General capture location.,,dead,car001_car001,none,Hart Ranges,151.441,,VHF,
car008,QU_car008,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on Telemetry. cod Predation - Grizzly Bear,,,f,caribou,collar,54.95871159,-121.2507174,54.95508317,-121.3759404,MW,General capture location.,,dead,car008_car008,none,Quintette,151.791,,VHF,
car007,QU_car007,Rangifer tarandus,00:00.0,,,,,f,caribou,collar,,,55.01077924,-121.5144396,MW,General capture location.,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,other,car007_car007,none,Quintette,151.72,,VHF,
car010,MO_car010,Rangifer tarandus,00:00.0,59:00.0,,,pregnant: Yes; with calf:,f,caribou,collar,,,55.62057375,-122.4283635,MW,General capture location.,Recovered failed collar and replaced with a new one.,removal,car010_car010_1,none,Moberly,151.98,Televilt,GPS,
car009,MO_car009,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.62057375,-122.4283635,MW,General capture location.,Recovered failed collar and replaced with a new one.,removal,car009_car009_1,none,Moberly,151.97,Televilt,GPS,
car011,KE_car011,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.10060221,-122.8276088,MW,General capture location.,Recovered failed GPS collar and replaced with a new one.,removal,car011_car011_1,none,Kennedy,151.871,Televilt,GPS,
car014,QU_car014,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,54.93470448,-121.0077883,MW,,,removal,car014_car014,none,Quintette,151.991,Televilt,GPS,
car012,QU_car012,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.08680268,-121.4975209,MW,,,removal,car012_car012_1,none,Quintette,151.88,Televilt,GPS,
