tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-death-comments,animal-life-stage,animal-reproductive-condition,animal-sex,animal-taxon-detail,attachment-type,deploy-off-latitude,deploy-off-longitude,deploy-on-latitude,deploy-on-longitude,deploy-on-person,deployment-comments,deployment-end-comments,deployment-end-type,deployment-id,manipulation-type,study-site,tag-beacon-frequency,tag-manufacturer-name,tag-model,tag-serial-no
car062,KE_car062,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.25288041,-122.6145703,,,,removal,car062_car062,none,Kennedy,148.151,ATS,GPS,
car064,KE_car064,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.25288041,-122.6145703,,,,removal,car064_car064,none,Kennedy,148.058,ATS,GPS,
car063,KE_car063,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.25288041,-122.6145703,,,,removal,car063_car063,none,Kennedy,148.169,ATS,GPS,
car069,QU_car069,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.13725555,-121.3869846,,,,removal,car069_car069,none,Quintette,150.597,ATS,GPS,
car066,MO_car066,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on GPS. cod Predation - Wolf,,,f,caribou,collar,55.54004001,-122.5603005,55.7496281,-122.5969426,,,,dead,car066_car066,none,Moberly,148.65,ATS,GPS,
car067,MO_car067,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.75340165,-122.5995964,,,,removal,car067_car067,none,Moberly,148.358,ATS,GPS,
car070,QU_car070,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.11393606,-121.340369,,,,removal,car070_car070,none,Quintette,150.479,ATS,GPS,
car068,QU_car068,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,28.13432133,-121.9435809,,,,removal,car068_car068,none,Quintette,150.465,ATS,GPS,
car074,QU_car074,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.11432311,-121.4229523,,,,removal,car074_car074,none,Quintette,150.489,ATS,GPS,
car073,QU_car073,Rangifer tarandus,00:00.0,,,,,f,caribou,collar,,,54.90022551,-121.300636,,,Lost,other,car073_car073,none,Quintette,150.43,ATS,GPS,
car072,QU_car072,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on GPS. cod Unknown.  Suspected wolf predation,,,f,caribou,collar,54.69695327,-121.8345539,54.9015771,-121.3425189,,,,dead,car072_car072,none,Quintette,150.45,ATS,GPS,
car075,QU_car075,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.11442649,-121.337448,,,,removal,car075_car075,none,Quintette,150.579,ATS,GPS,
car071,QU_car071,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.07449728,-121.4283258,,,,removal,car071_car071,none,Quintette,150.44,ATS,GPS,
car077,NA_car077,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.07624912,-120.5800836,,,,removal,car077_car077,none,Narraway,149.45,ATS,GPS,
car078,NA_car078,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on GPS. cod Predation - Wolf,,,f,caribou,collar,55.07700374,-120.3153435,55.05450426,-120.5959428,,,,dead,car078_car078,none,Narraway,149.428,ATS,GPS,
car080,MO_car080,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on GPS. cod Predation - Unknown predator,,,f,caribou,collar,55.78256339,-122.4266288,55.79987005,-122.5795948,,,,dead,car080_car080,none,Moberly,148.228,ATS,GPS,
car079,MO_car079,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on GPS. cod Predation - Unknown predator,,,f,caribou,collar,55.70720032,-123.1973489,55.86289192,-122.7949939,,,,dead,car079_car079,none,Moberly,148.191,ATS,GPS,
car098,KE_car098,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.23270883,-122.5904404,,,,removal,car098_car098,none,Kennedy,148.438,ATS,GPS,
car096,KE_car096,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.31367567,-122.7896121,,,,removal,car096_car096,none,Kennedy,148.39,ATS,GPS,
car095,KE_car095,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on GPS. cod Unknown.  Suspected predation,,,f,caribou,collar,55.2891517,-122.5310297,55.31367567,-122.7896121,,,,dead,car095_car095,none,Kennedy,150.45,ATS,GPS,
car099,KE_car099,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.23270883,-122.5904404,,,,removal,car099_car099,none,Kennedy,148.38,ATS,GPS,
car097,KE_car097,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.23270883,-122.5904404,,,,removal,car097_car097,none,Kennedy,148.777,ATS,GPS,
car102,MO_car102,Rangifer tarandus,00:00.0,59:00.0,,15-Dec,with calf: N,f,caribou,collar,,,55.99397469,-122.6061069,"BC, DC, MK, WMC",,,removal,car102_car102,none,Moberly,148.76,ATS,GPS G2000,12347
car101,BP_car101,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on GPS. cod Unknown.  Suspected wolf predation,05-Mar,with calf: Unk,f,caribou,collar,55.38963877,-122.269084,55.42126297,-122.3152811,"BC, DC, MK, WMC",includ. CAR100 (149.801),,dead,car101_car101,none,Burnt Pine,149.73,ATS,GPS G2000,22305
car100,BP_car100,Rangifer tarandus,00:00.0,59:00.0,,05-Mar,with calf: N,f,caribou,collar,,,55.42126297,-122.3152811,"BC, DC, MK, WMC",includ. CAR101 (149.730); *no photos due to temp (-30 C),,removal,car100_car100,none,Burnt Pine,149.801,ATS,GPS G2000,22313
car103,MO_car103,Rangifer tarandus,00:00.0,59:00.0,,03-Feb,with calf: N,f,caribou,collar,,,55.86862183,-122.497179,"BC, DC, MK, WMC",,,removal,car103_car103,none,Moberly,148.519,ATS,GPS G2000,12371
car104,MO_car104,Rangifer tarandus,00:00.0,59:00.0,,07-May,with calf: N,f,caribou,collar,,,55.78901711,-122.4501234,"BC, DC, MK, TE",includ. CAR080  (ATS 148.228),,removal,car104_car104,none,Moberly,148.41,ATS,GPS G2000,12370
car106,QU_car106,Rangifer tarandus,00:00.0,59:00.0,,05-Mar,with calf: N,f,caribou,collar,,,54.92434282,-120.9844692,"BC, MK, DC",includ. CAR105 and CAR059,,removal,car106_car106,none,Quintette,149.61,ATS,GPS G2000,22304
car105,QU_car105,Rangifer tarandus,00:00.0,59:00.0,,07-May,with calf: N,f,caribou,collar,,,54.93107863,-121.0119635,"BC, MK, DC",includ. CAR106 and CAR059 (ATS 150.559; with calf; programmed  collar release failed - recaptured and collar retrieved),,removal,car105_car105,none,Quintette,149.648,ATS,GPS G2000,22308
car107,QU_car107,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on GPS. cod Predation - Wolf,10-Aug,with calf: N,f,caribou,collar,54.71304269,-121.0981002,54.87273019,-120.968233,"BC, MK, DC, SC","includ. CAR036, CAR105 and CAR106; retrieved released collar 150.690 (CAR057) from same ridge.",,dead,car107_car107,none,Quintette,149.769,ATS,GPS G2000,22309
car110,QU_car110,Rangifer tarandus,00:00.0,59:00.0,,10-Aug,with calf: N,f,caribou,collar,,,55.14727287,-121.369821,"BC, GA, DC, LW","includ. CAR070, CAR075, and CAR111",,removal,car110_car110,none,Quintette,149.779,ATS,GPS G2000,22311
car112,QU_car112,Rangifer tarandus,00:00.0,59:00.0,,07-May,with calf: Y,f,caribou,collar,,,55.117158,-121.3354215,"BC, GA, DC, LW",includ. CAR007; *2+ calves,,removal,car112_car112,none,Quintette,149.748,ATS,GPS G2000,22307
car114,QU_car114,Rangifer tarandus,00:00.0,59:00.0,,05-Mar,with calf: Y,f,caribou,collar,,,55.19721978,-121.4930991,"BC, GA, DC, LW",includ. CAR071; *1+ calves,,removal,car114_car114,none,Quintette,149.708,ATS,GPS G2000,22314
car111,QU_car111,Rangifer tarandus,00:00.0,59:00.0,,07-May,with calf: Y,f,caribou,collar,,,55.14727287,-121.369821,"BC, GA, DC, LW","*antlers broken; includ. CAR070, CAR075, and CAR110",,removal,car111_car111,none,Quintette,149.689,ATS,GPS G2000,22312
car113,QU_car113,Rangifer tarandus,00:00.0,59:00.0,,07-May,with calf: Y,f,caribou,collar,,,55.12831791,-121.3975716,"BC, GA, DC, LW",,,removal,car113_car113,none,Quintette,149.718,ATS,GPS G2000,22315
car109,QU_car109,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on GPS. cod Predation - Wolf,05-Mar,with calf: Y,f,caribou,collar,54.92091838,-120.8613899,54.84935951,-120.9574911,"BC, GA, DC, LW","*bald; group includ. CAR036, CAR105, CAR106, CAR107, and CAR108",,dead,car109_car109,none,Quintette,149.627,ATS,GPS G2000,22306
car116,MO_car116,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on GPS. cod Unknown.  Suspected wolf predation,10-Aug,with calf: N,f,caribou,collar,55.94576706,-122.1238158,55.84356276,-122.7330221,"BC, MK, DC, PJ",missing 2 incisors,,dead,car116_car116,none,Moberly,148.65,ATS,GPS G2000,12553
car115,BP_car115,Rangifer tarandus,00:00.0,59:00.0,,07-May,,m,caribou,collar,,,55.46154303,-122.2046044,"BC, MK, DC, PJ",*mature male; old tear in right ear,,removal,car115_car115,none,Burnt Pine,148.13,ATS,GPS G2000,12550
car126,QU_car126,Rangifer tarandus,00:00.0,59:00.0,,06-Apr,with calf: Y,f,caribou,collar,,,54.93588476,-120.9981135,"BC, GA, DC, BP",includ. CAR 122 (bull collared at Bearhole in Dec 2009),,removal,car126_car126,none,Quintette,149.652,ATS,GPS G2000,22308
car125,QU_car125,Rangifer tarandus,00:00.0,59:00.0,,15-Dec,with calf: N,f,caribou,collar,,,55.15345759,-121.3813869,"BC, GA, DC, BP",* in 2 groups of 22 + 13; caribou had been previously collared (eartag orange left/no ID number); excellent condition,,removal,car125_car125,none,Quintette,149.748,ATS,GPS G2000,22307
car130,KE_car130,Rangifer tarandus,00:00.0,59:00.0,,07-May,with calf: N,f,caribou,collar,,,55.20245574,-122.5968472,"BC, GA, DC, BP","previously uncollared group; collared CAR, 128, CAR 129, CAR 130",,removal,car130_car130,none,Kennedy,148.04,ATS,GPS G2000,22004
car128,KE_car128,Rangifer tarandus,00:00.0,59:00.0,,03-Feb,with calf: N,f,caribou,collar,,,55.20392887,-122.5939569,"BC, GA, DC, BP","previously uncollared group; collared CAR, 128, CAR 129, CAR 130",,removal,car128_car128,none,Kennedy,148.169,ATS,GPS G2000,22008
car131,KE_car131,Rangifer tarandus,00:00.0,59:00.0,,15-Dec,with calf: N,f,caribou,collar,,,55.19733882,-122.4901805,"BC, GA, DC, BP",includ. CAR121 and CAR 127,,removal,car131_car131,none,Kennedy,148.228,ATS,GPS G2000,22003
car129,KE_car129,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on GPS. cod Predation - Wolf,03-Feb,with calf: N,f,caribou,collar,55.25034948,-122.3520599,55.20624099,-122.5920635,"BC, GA, DC, BP","previously uncollared group; collared CAR, 128, CAR 129, CAR 130; very low body fat",,dead,car129_car129,none,Kennedy,148.058,ATS,GPS G2000,22005
car127,KE_car127,Rangifer tarandus,00:00.0,59:00.0,,03-Feb,with calf: N,f,caribou,collar,,,55.20449387,-122.499344,"BC, GA, DC, BP",includ. CAR121 and new collar CAR 131,,removal,car127_car127,none,Kennedy,148.209,ATS,GPS G2000,22002
car132,NA_car132,Rangifer tarandus,00:00.0,59:00.0,cod Predation - Wolf,05-Mar,with calf: N,f,caribou,collar,,,55.02934921,-120.2226574,"BC, GA, DC",includ. CAR123 and new collar CAR 133; hair loss on shoulders and flanks resembles winter tick rubbing/no ticks observed,,removal,car132_car132,none,Narraway,148.47,Lotek,GPS Iridium,2763 IRD000147
car133,NA_car133,Rangifer tarandus,00:00.0,,,06-Apr,with calf: N,f,caribou,collar,,,55.06321083,-120.2299917,"BC, GA, DC",includ. CAR123 and new collar CAR 132,Lost,other,car133_car133,none,Narraway,148.72,Lotek,GPS Iridium,2765 IRD000149
car134,NA_car134,Rangifer tarandus,00:00.0,,,03-Feb,with calf: N,f,caribou,collar,,,55.09471258,-120.2158518,"BC, GA, DC, BP",Group includ. CAR132 (with calf).,Lost,other,car134_car134,none,Narraway,148.81,Lotek,GPS Iridium,2766 IRD000150
car136,QU_car136,Rangifer tarandus,00:00.0,59:00.0,cod Unknown,06-Apr,with calf: N,f,caribou,collar,54.92708982,-121.3409496,55.00183461,-121.34178,"BC, GA, DC, TE","Poor condition, abundant hair breakage, no sign of warbles.",,dead,car136_car136,none,Quintette,149.16,Lotek,GPS Iridium,30788
car135,NA_car135,Rangifer tarandus,00:00.0,,,05-Mar,with calf: N,f,caribou,collar,,,55.09478544,-120.2233712,"BC, GA, DC, TE",Group includ. CAR132 (with calf) and CAR 134.,Lost,other,car135_car135,none,Narraway,148.51,Lotek,GPS Iridium,2764 IRD000148
car140,QU_car140,Rangifer tarandus,00:00.0,59:00.0,cod Unknown,06-Apr,with calf: Y,f,caribou,collar,54.86864718,-120.9557833,54.86135971,-120.8727234,"BC, GA, DC, TE",Group includ. CAR122 and CAR126.,,dead,car140_car140,none,Quintette,149.07,Lotek,GPS Iridium,30779
car138,QU_car138,Rangifer tarandus,00:00.0,59:00.0,,06-Apr,with calf: N,f,caribou,collar,,,54.85339372,-120.9595306,"BC, GA, DC, TE",,Recovered failed collar and replaced with a new one.,removal,car138_car138_1,none,Quintette,149.19,Lotek,GPS Iridium,30791
car146,QU_car146,Rangifer tarandus,00:00.0,59:00.0,,05-Mar,with calf: N,f,caribou,collar,,,55.16550381,-121.501847,"BC, GA, DC, TE",Group includ. unidentified older collar.,Recovered failed collar and replaced with a new one.,removal,car146_car146_1,none,Quintette,149.21,Lotek,GPS Iridium,30954
car142,QU_car142,Rangifer tarandus,00:00.0,,,05-Mar,with calf: Unk,f,caribou,collar,,,55.12121526,-121.345603,"BC, GA, DC, TE",Group includ. CAR125 and new collars CAR141 and CAR143.,Lost,other,car142_car142,none,Quintette,149.06,Lotek,GPS Iridium,30778
car143,QU_car143,Rangifer tarandus,00:00.0,,,03-Feb,with calf: N,f,caribou,collar,,,55.12127813,-121.3456004,"BC, GA, DC, TE","Group includ. CAR125, CAR141, and CAR142.",Lost,other,car143_car143,none,Quintette,149.11,Lotek,GPS Iridium,30783
car144,BP_car144,Rangifer tarandus,00:00.0,,,05-Mar,with calf: N,f,caribou,collar,,,55.43659136,-122.3378226,"BC, GA, DC, TE",Group includ. CAR 145; very rich terrestrial lichen supply on eastern lower slopes of Stephenson.,Lost,other,car144_car144,none,Burnt Pine,149.15,Lotek,GPS Iridium,30787
car139,QU_car139,Rangifer tarandus,00:00.0,,,05-Mar,with calf: N,f,caribou,collar,,,54.86148763,-120.9074971,"BC, GA, DC, TE",,Lost,other,car139_car139,none,Quintette,149.22,Lotek,GPS Iridium,30955
car141,QU_car141,Rangifer tarandus,00:00.0,,,08-Jun,with calf: Y,f,caribou,collar,,,55.12127813,-121.3456004,"BC, GA, DC, TE",Group includ. CAR125 and new collars CAR142 and CAR143.,Lost,other,car141_car141,none,Quintette,149.14,Lotek,GPS Iridium,30786
car137,QU_car137,Rangifer tarandus,00:00.0,59:00.0,,03-Feb,with calf: N,f,caribou,collar,,,54.86580666,-120.9621918,"BC, GA, DC, TE","Heavy snowmobile activity in area (alpine, subalpine and below treeline)",Recovered failed collar and replaced with a new one.,removal,car137_car137_1,none,Quintette,149.2,Lotek,GPS Iridium,30792
car145,BP_car145,Rangifer tarandus,00:00.0,59:00.0,cod Unknown,07-May,with calf: N,f,caribou,collar,,,55.43659136,-122.3378226,"BC, GA, DC, TE",Group includ. CAR 144;  snow depth in valley on west side of mtn = 1.3 metres; abundant arboreal lichen on subalpine fir.,,dead,car145_car145,none,Burnt Pine,149.08,Lotek,GPS Iridium,30780
car149,MO_car149,Rangifer tarandus,00:00.0,59:00.0,cod Unknown,08-Jun,with calf: N,f,caribou,collar,55.85274015,-122.5139006,55.85653501,-122.4689794,"BC, GA, DC, RD",Group includ. CAR103 (148.519).,,dead,car149_car149,none,Moberly,149.09,Lotek,GPS Iridium,30781
car147,MO_car147,Rangifer tarandus,00:00.0,,,05-Mar,with calf: N,f,caribou,collar,,,55.88340196,-122.9456482,"BC, GA, DC, RD",Group includ. CAR104 (148.410).,Infometrics,other,car147_car147,none,Moberly,149.12,Lotek,GPS Iridium,30784
car148,MO_car148,Rangifer tarandus,00:00.0,59:00.0,cod Predation - Wolf,07-May,with calf: N,f,caribou,collar,55.75019288,-122.6399358,55.81067319,-122.8140168,"BC, GA, DC, RD",,,dead,car148_car148,none,Moberly,149.13,Lotek,GPS Iridium,30785
car151,MO_car151,Rangifer tarandus,00:00.0,59:00.0,cod Predation - Unknown predator,12-Oct,with calf: N,f,caribou,collar,55.82464929,-122.5591136,55.76011096,-122.5905719,"BC,GA, DC, GS",Group includ. CAR150; teeth worn down to gumline.,,dead,car151_car151,none,Moberly,149.1,Lotek,GPS Iridium,30782
car152,QU_car152,Rangifer tarandus,00:00.0,59:00.0,cod Predation - Unknown predator,05-Mar,with calf: N,f,caribou,collar,55.09141106,-121.3733638,55.19920204,-121.471121,"BC,GA, DC, GS",Group includ. CAR111 (149.689; recaptured to retrieve collar).,,dead,car152_car152,none,Quintette,149.18,Lotek,GPS Iridium,30790
car150,MO_car150,Rangifer tarandus,00:00.0,59:00.0,,05-Mar,with calf: N,f,caribou,collar,,,55.76011096,-122.5905719,"BC,GA, DC, GS",Group includ. CAR151.,,removal,car150_car150_1,none,Moberly,149.17,Lotek,GPS Iridium,30789
car153,KE_car153,Rangifer tarandus,00:00.0,59:00.0,cod Predation - Unknown predator,06-Apr,with calf: N,f,caribou,collar,55.31908506,-122.360615,55.25750006,-122.5716669,"BC, GA, JC",,,dead,car153_car153,none,Kennedy,149.304,ATS,GPS Iridium,31048
car154,KE_car154,Rangifer tarandus,00:00.0,59:00.0,,03-Feb,with calf: N,f,caribou,collar,,,55.19228975,-122.4819354,"BC, GA, JC",,,removal,car154_car154,none,Kennedy,149.296,ATS,GPS Iridium,31047
car157,KE_car157,Rangifer tarandus,00:00.0,59:00.0,"cod Accidental, Collar Still in Field, Inaccessible",08-Jun,with calf: N,f,caribou,collar,55.18155998,-122.50196,55.29278087,-122.6124357,"BC,DC,GW,RA",,,dead,car157_car157,none,Kennedy,149.285,ATS,GPS Iridium,31046
car156,KE_car156,Rangifer tarandus,00:00.0,59:00.0,,07-May,with calf: N,f,caribou,collar,,,55.23312662,-122.5317064,"BC,DC,GW,RA",,,removal,car156_car156_1,none,Kennedy,149.314,ATS,GPS Iridium,31049
car155,KE_car155,Rangifer tarandus,00:00.0,59:00.0,,07-May,with calf: Y,f,caribou,collar,,,55.19611859,-122.473701,"BC,DC,GW,RA",,,removal,car155_car155_1,none,Kennedy,149.326,ATS,GPS Iridium,31050
car158,QU_car158,Rangifer tarandus,00:00.0,59:00.0,cod Predation - Wolf,06-Apr,with calf: N,f,caribou,collar,55.17077215,-121.5405257,55.21495753,-121.5281889,"BC,TE,RA,FG",Mort recovery deployed on new caribou,,dead,car158_car158,none,Quintette,149.18,Lotek,GPS Iridium,30790
car150,MO_car150,Rangifer tarandus,00:00.0,59:00.0,,05-Mar,with calf: N,f,caribou,collar,,,55.86300063,-122.4578027,"BC,TE,RA,FG",Redeployment of mortality recovery,Recovered failed collar and replaced with a new one.,removal,car150_car150_2,none,Moberly,149.17,Lotek,GPS Iridium,30789
car146,QU_car146,Rangifer tarandus,00:00.0,59:00.0,,05-Mar,with calf: N,f,caribou,collar,55.06053482,-121.4395426,55.21495753,-121.5281889,"BC,TE,RA,FG",Recapture - failed Iridium 149.210 removed; replaced with new Iridium.,,dead,car146_car146_2,none,Quintette,149.21,Lotek,GPS Iridium,30954
car137,QU_car137,Rangifer tarandus,00:00.0,59:00.0,,05-Mar,with calf: N,f,caribou,collar,,,54.87348105,-121.0191177,"BC,TE,RA",Recapture - failed Iridium 149.220 removed; replaced with new Iridium.,Recovered failed collar and replaced with a new one.,removal,car137_car137_2,none,Quintette,149.2,Lotek,GPS Iridium,30792
car159,QU_car159,Rangifer tarandus,00:00.0,59:00.0,,05-Mar,with calf: N,f,caribou,collar,,,54.88920346,-121.0076805,"BC,TE,RA",,Recovered failed collar and replaced with a new one.,removal,car159_car159_1,none,Quintette,149.35,Lotek,GPS Iridium,32201
car161,MO_car161,Rangifer tarandus,00:00.0,,,15-Dec,with calf: N,f,caribou,collar,,,55.7780167,-122.4742565,"TE,BC,MK",,Lost,other,car161_car161,none,Moberly,149.1,Lotek,GPS Iridium,33155
car166,QU_car166,Rangifer tarandus,00:00.0,59:00.0,cod Predation - Grizzly,06-Apr,with calf: N,f,caribou,collar,55.08105672,-121.4929111,55.04264275,-121.4484176,"TE,BC,MK,JC",,,dead,car166_car166,none,Quintette,149.255,ATS,GPS Iridium,30827
car163,QU_car163,Rangifer tarandus,00:00.0,59:00.0,cod Collar Still in Field,06-Apr,with calf: N,f,caribou,collar,,,55.11353443,-121.7747958,"TE,BC,MK,JC",,,dead,car163_car163,none,Quintette,149.265,ATS,GPS Iridium,30828
car167,QU_car167,Rangifer tarandus,00:00.0,,,06-Apr,with calf: N,f,caribou,collar,,,55.14903049,-121.3742375,"TE,BC,MK,JC",,Lost,other,car167_car167,none,Quintette,149.244,ATS,GPS Iridium,30826
car150,MO_car150,Rangifer tarandus,00:00.0,59:00.0,,06-Apr,with calf: N,f,caribou,collar,,,55.7892214,-122.4763382,"TE,BC,MK,JC",Recapture - failed Iridium 149.100 removed; replaced with new Iridium.,Infometrics,other,car150_car150_3,none,Moberly,149.17,Lotek,GPS Iridium,30789
car171,SC_car171,Rangifer tarandus,00:00.0,,,08-Jun,with calf: Y,f,caribou,collar,,,55.87166322,-123.3417703,"BC,DC,TE,MK","same group as car168, car169 &car170",the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,other,car171_car171,none,Scott,148.524,ATS,GPS Iridium,32303
car170,SC_car170,Rangifer tarandus,00:00.0,59:00.0,cod Predation - Wolf,03-Feb,with calf: N,f,caribou,collar,55.90501066,-123.6158964,55.85990702,-123.3557102,"BC,DC,TE,MK",same group as car168 & car169,,dead,car170_car170,none,Scott,148.535,ATS,GPS Iridium,32304
car168,SC_car168,Rangifer tarandus,00:00.0,,,08-Jun,with calf: N,f,caribou,collar,,,55.85995549,-123.3544805,"BC,DC,TE,MK",,Infometrics,other,car168_car168,none,Scott,148.544,ATS,GPS Iridium,32305
car169,SC_car169,Rangifer tarandus,00:00.0,59:00.0,cod Collar still in Field,10-Aug,with calf: N,f,caribou,collar,,,55.85998853,-123.3554873,"BC,DC,TE,MK",same group as car168,,dead,car169_car169,none,Scott,148.505,ATS,GPS Iridium,32302
car138,QU_car138,Rangifer tarandus,00:00.0,59:00.0,,08-Jun,with calf: N,f,caribou,collar,54.86655374,-120.9372347,54.87250961,-120.9754763,"BC,DC,TE,MK",Recapture - failed Iridium 149.190 removed; replaced with VHF. No data provided for this deployment.,,dead,car138_car138_2,none,Quintette,149.19,Lotek,GPS Iridium,30791
car173,QU_car173,Rangifer tarandus,00:00.0,59:00.0,cod Predation - Wolf,05-Mar,with calf: N,f,caribou,collar,54.79574748,-121.4433879,54.85236249,-121.0243436,"BC,DC,TE,MK",,,dead,car173_car173,none,Quintette,149.13,Lotek,GPS Iridium,30785
car172,QU_car172,Rangifer tarandus,00:00.0,59:00.0,,06-Apr,with calf: N,f,caribou,collar,,,54.83566555,-121.0124525,"BC,DC,TE,MK",,,removal,car172_car172_1,none,Quintette,149.276,ATS,GPS Iridium,30829
car137,QU_car137,Rangifer tarandus,00:00.0,,,05-Mar,with calf: N,f,caribou,collar,54.883612,-121.4057557,54.86460773,-121.0151583,"BC,DC,TE,MK",Recapture - failed Iridium 149.340 removed; replaced with VHF. No data provided for this deployment.,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,other,car137_car137_3,none,Quintette,149.2,Lotek,GPS Iridium,30792
car175,QU_car175,Rangifer tarandus,00:00.0,,,,with calf: Y,f,caribou,collar,,,,,BC,,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,other,car175_car175,none,Quintette,150.12,Lotek,GPS LifeCycle,37473
car159,QU_car159,Rangifer tarandus,00:00.0,59:00.0,,,with calf: N,f,caribou,collar,,,,,BC,Removed and replaced Lotek Iridium 149.350,,dead,car159_car159_2,none,Quintette,149.35,Lotek,GPS Iridium,32201
car178,NA_car178,Rangifer tarandus,00:00.0,,,,with calf: N,f,caribou,collar,,,,,BC,including car124 and new collar car179,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,other,car178_car178,none,Narraway,150.25,Lotek,GPS LifeCycle,37486
car177,NA_car177,Rangifer tarandus,00:00.0,,,,with calf: N,f,caribou,collar,,,,,BC,Including Moberly 149.753 and unidentified failed Lotek Iridium,Lost,other,car177_car177,none,Narraway,150.23,Lotek,GPS LifeCycle,37484
car179,NA_car179,Rangifer tarandus,00:00.0,,,,with calf: N,f,caribou,collar,,,,,BC,including car124 and new collar car178,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,other,car179_car179,none,Narraway,150.06,Lotek,GPS LifeCycle,37467
car183,QU_car183,Rangifer tarandus,00:00.0,59:00.0,cod Predation - Grizzly,,,f,caribou,collar,55.11177007,-121.3508194,,,,,,dead,car183_car183,none,Quintette,150.22,Lotek,GPS LifeCycle,37483
car181,QU_car181,Rangifer tarandus,00:00.0,,,,,f,caribou,collar,,,,,,,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,other,car181_car181,none,Quintette,150.26,Lotek,GPS LifeCycle,37487
car180,QU_car180,Rangifer tarandus,00:00.0,59:00.0,cod Predation - Grizzly,,,f,caribou,collar,54.85562225,-120.8748657,,,,,,dead,car180_car180,none,Quintette,150.28,Lotek,GPS LifeCycle,37489
car182,QU_car182,Rangifer tarandus,00:00.0,,,,,f,caribou,collar,,,,,,,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,other,car182_car182,none,Quintette,150.21,Lotek,GPS LifeCycle,37482
car186,KE_car186,Rangifer tarandus,00:00.0,,,,,f,caribou,collar,,,,,,,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,other,car186_car186,none,Kennedy,150.15,Lotek,GPS LifeCycle,37476
car187,KE_car187,Rangifer tarandus,00:00.0,59:00.0,cod Vehicle Collision,,,f,caribou,collar,55.12305172,-122.8165356,,,,,,dead,car187_car187,none,Kennedy,150.02,Lotek,GPS LifeCycle,37463
car185,KE_car185,Rangifer tarandus,00:00.0,,,,,f,caribou,collar,,,,,,,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,other,car185_car185,none,Kennedy,150.14,Lotek,GPS LifeCycle,37475
car156,KE_car156,Rangifer tarandus,00:00.0,,,,with calf: N,f,caribou,collar,,,,,,,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,other,car156_car156_2,none,Kennedy,149.314,ATS,GPS Iridium,31049
car184,KE_car184,Rangifer tarandus,00:00.0,59:00.0,cod Unknown,,,f,caribou,collar,,,,,,,,dead,car184_car184,none,Kennedy,150.13,Lotek,GPS LifeCycle,37474
car155,KE_car155,Rangifer tarandus,00:00.0,59:00.0,,,with calf: Y,f,caribou,collar,,,,,,,Infometrics,other,car155_car155_2,none,Kennedy,149.326,ATS,GPS Iridium,31050
car188,QU_car188,Rangifer tarandus,00:00.0,,,,,f,caribou,collar,,,,,,,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,other,car188_car188,none,Quintette,150.29,Lotek,GPS LifeCycle,37490
