"location.long","location.lat","comments","tag.local.identifier","animal.id","animal.sex","animal.reproductive.condition","tag.manufacturer.name","tag.model","date_time","year","month","day","hour","minute"
-123.3738551,55.8628004,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-07-19 02:01:00,2013,7,19,2,1
-123.3738525,55.82924951,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-02-01 18:00:26,2013,2,1,18,0
-123.3738376,55.82436157,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-01-23 17:00:25,2013,1,23,17,0
-123.3735283,55.86203764,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-12-14 18:01:00,2013,12,14,18,1
-123.3734976,55.86217252,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-12-14 18:01:00,2013,12,14,18,1
-123.3734314,55.86193012,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2013-12-14 18:01:00,2013,12,14,18,1
-123.373409,55.85960301,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2014-06-23 18:01:00,2014,6,23,18,1
-123.3733919,55.87114008,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2013-04-04 10:05:00,2013,4,4,10,5
-123.3733407,55.82414743,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-01-23 10:00:44,2013,1,23,10,0
-123.3733294,55.86462599,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-07-25 02:01:00,2013,7,25,2,1
-123.3730629,55.8618324,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-12-14 10:02:00,2013,12,14,10,2
-123.3728349,55.86470836,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2014-06-18 02:02:00,2014,6,18,2,2
-123.3727926,55.86196799,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-12-15 10:01:00,2013,12,15,10,1
-123.3727889,55.83154398,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-04-29 23:00:44,2013,4,29,23,0
-123.3726251,55.82943294,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-05-08 10:00:43,2013,5,8,10,0
-123.3722359,55.86222126,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2013-12-13 10:01:00,2013,12,13,10,1
-123.3715759,55.8650536,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-05-29 18:01:00,2013,5,29,18,1
-123.3713941,55.86609643,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-05-29 10:01:00,2013,5,29,10,1
-123.3713823,55.86151401,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-12-14 02:01:00,2013,12,14,2,1
-123.3713719,55.82859212,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-01-02 10:00:26,2013,1,2,10,0
-123.3712884,55.8248545,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-02-05 06:00:50,2013,2,5,6,0
-123.3711322,55.82521438,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-04-18 14:00:43,2013,4,18,14,0
-123.3710835,55.82512467,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-01-26 22:00:25,2013,1,26,22,0
-123.3710624,55.86147903,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-12-15 02:01:00,2013,12,15,2,1
-123.3710489,55.88855148,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-05-28 10:02:00,2015,5,28,10,2
-123.3710441,55.8612275,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2014-05-12 18:01:00,2014,5,12,18,1
-123.3710146,55.86148816,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2014-05-13 18:01:00,2014,5,13,18,1
-123.3709866,55.89040261,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2014-10-05 02:01:00,2014,10,5,2,1
-123.3709822,55.88826415,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-05-28 02:02:00,2015,5,28,2,2
-123.3708778,55.84880143,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2014-12-24 18:01:00,2014,12,24,18,1
-123.3706734,55.89276665,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-06-07 10:02:00,2015,6,7,10,2
-123.3705936,55.83068803,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-04-28 19:00:48,2013,4,28,19,0
-123.3703808,55.88890391,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-05-27 10:01:00,2015,5,27,10,1
-123.3703036,55.88751144,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-05-28 18:02:00,2015,5,28,18,2
-123.370279,55.83117418,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-04-18 21:00:41,2013,4,18,21,0
-123.3701631,55.84922589,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2014-12-23 10:01:00,2014,12,23,10,1
-123.370049,55.83049199,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-01-04 11:00:43,2013,1,4,11,0
-123.3699202,55.83037557,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-01-07 23:00:47,2013,1,7,23,0
-123.369914,55.84990952,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2013-12-14 18:02:00,2013,12,14,18,2
-123.3698578,55.84903812,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2013-12-31 02:01:00,2013,12,31,2,1
-123.3696627,55.86044995,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2014-11-24 02:02:00,2014,11,24,2,2
-123.3696326,55.88756737,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-05-29 02:02:00,2015,5,29,2,2
-123.3694271,55.86088194,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2014-11-23 02:01:00,2014,11,23,2,1
-123.3692157,55.86048723,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-05-26 10:01:00,2013,5,26,10,1
-123.3691997,55.86048728,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2014-11-23 10:02:00,2014,11,23,10,2
-123.3691961,55.85000153,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2014-12-23 02:01:00,2014,12,23,2,1
