event.id,timestamp,location.long,location.lat,DOP,FixType,comments,study.specific.measurement,sensor.type,individual.taxon.canonical.name,tag.local.identifier,individual.local.identifier,study.name,date
2269831710,00:44.0,-123.3731298,55.82378866,1.2,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:44.0
2269831711,00:50.0,-123.3712884,55.8248545,1.4,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:50.0
2269831712,00:48.0,-123.3733804,55.82495599,1.6,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:48.0
2269831713,00:25.0,-123.3725441,55.8243026,1.8,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:25.0
2269831714,00:25.0,-123.3843612,55.83294602,1.8,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:25.0
2269831715,00:44.0,-123.3933516,55.83314224,1.8,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:44.0
2269831716,00:44.0,-123.393986,55.83272688,3,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:44.0
2269831717,00:41.0,-123.4005461,55.82946202,2.8,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:41.0
2269831718,00:25.0,-123.3992056,55.8295113,2,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:25.0
2269831719,00:25.0,-123.3985679,55.82959424,2.4,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:25.0
2269831720,00:44.0,-123.393892,55.8328979,1.6,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:44.0
2269831721,00:44.0,-123.3915717,55.83237518,1.6,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:44.0
